ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
JE00B78NNK09,WisdomTree Wheat - EUR Daily Hedged,00XS,ETC,"0,49%",,EUR,
JE00B78NPY84,WisdomTree Agriculture - EUR Daily Hedged,00XJ,ETC,"0,49%",,EUR,
JE00B44F1611,WisdomTree WTI Crude Oil - EUR Daily Hedged,00XM,ETC,"0,49%",,EUR,
IE00B579F325,Invesco Physical Gold ETC,8PSG,ETC,"0,12%",,EUR,PreciousMetals
JE00B6SV8B36,WisdomTree Broad Commodities Ex-Agriculture and Livestock,OOEC,ETC,"0,49%",,EUR,
JE00B8DFY052,WisdomTree Physical Gold - EUR Daily Hedged,GBSE,ETC,"0,15%",,EUR,PreciousMetals
JE00B78NNV14,WisdomTree Energy - EUR Daily Hedged,EHEN,ETC,"0,49%",,EUR,
IE00B6X4BP29,WisdomTree Gold 3x Daily Short,PCFN,ETC,"0,99%",,EUR,
IE00B7XD2195,WisdomTree Silver 3x Daily Leveraged,PCFH,ETC,"0,99%",,EUR,
IE00B8HGT870,WisdomTree Gold 3x Daily Leveraged,PCFP,ETC,"0,99%",,EUR,
IE00B76BRD76,WisdomTree Natural Gas 3x Daily Short,NGXS,ETC,"0,99%",,EUR,
IE00BLRPRG98,WisdomTree Natural Gas 3x Daily Leveraged,NGXL,ETC,"0,99%",,EUR,
IE00B8JG1787,WisdomTree Silver 3x Daily Short,PCFG,ETC,"0,99%",,EUR,
IE00BVFZGD11,WisdomTree Bloomberg Brent Crude Oil,0LJD,ETC,"0,25%",,EUR,
IE00BVFZGC04,WisdomTree Bloomberg WTI Crude Oil,0LJC,ETC,"0,25%",,EUR,
IE00BLRPRK35,WisdomTree Brent Crude Oil 3x Daily Short,3BFS,ETC,"0,99%",,EUR,
DE000PB6R1B1,BNPP RICI Enhanced Brent (TR) Index ETC,BNQC,ETC,"1,00%",,EUR,
DE000PB6R1D7,BNPP RICI Diesel (TR) Enhanced ETC,BNQF,ETC,"1,00%",,EUR,
DE000PB6R1G0,BNPP RICI Natural Gas (TR) Enhanced ETC,BNQE,ETC,"1,00%",,EUR,
DE000PB6R1W7,BNPP RICI WTI Oil (TR) Enhanced ETC,BNQD,ETC,"1,00%",,EUR,
DE000PB6R1H8,BNPP RICI Heizöl (TR) Enhanced ETC,BNQH,ETC,"1,00%",,EUR,
